year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2016,ALB,Albania,Eastern Europe,5.291751647,8.011111111,9.192592593,5.25,8.607142857,7.596280576,57,9.7436,10,9.55365739,7.54,34,7.568140288,48,2
2016,DZA,Algeria,Middle East & North Africa,3.819566026,2.961111111,4.944814815,4,7.380952381,5.281772109,147,8.72046,5,7.253893581,4.99,159,5.135886055,155,4
2016,AGO,Angola,Sub-Saharan Africa,3.451813885,7.455555556,8.786666667,2.5,6.452380952,6.111324364,117,3.054,5,5.606605364,5.17,155,5.640662182,142,4
2016,ARG,Argentina,Latin America & the Caribbean,5.744791027,6.85,7.795925926,5.5,8.738095238,8.099695682,42,2,10,5.614335974,4.84,160,6.469847841,107,3
2016,ARM,Armenia,Caucasus & Central Asia,5.003205353,5.088888889,6.222222222,4.25,7.154761905,6.912803602,84,9.746,10,9.521939951,7.57,29,7.241401801,57,2
2016,AUS,Australia,Oceania,7.77627878,8.938888889,9.075925926,7.75,9.392857143,9.184438453,11,9.74462,10,9.452540278,7.98,10,8.582219227,4,1
2016,AUT,Austria,Western Europe,8.171748815,5.644444444,7.925185185,8,9.333333333,9.246948401,8,9.822,10,9.432829777,7.58,27,8.4134742,16,1
2016,AZE,Azerbaijan,Caucasus & Central Asia,4.270861177,5.461111111,5.461111111,0.25,4.70846197,5.676553478,131,9.1642,5,7.513486983,6.49,106,6.083276739,130,4
2016,BHS,Bahamas,Latin America & the Caribbean,6.400790273,6.433333333,7.938888889,7.25,8.895833333,7.454537846,64,9.9308,0,6.890103656,7.34,49,7.397268923,50,2
2016,BHR,Bahrain,Middle East & North Africa,5.900338722,4.022222222,7.461481481,0.75,4.130952381,6.136069994,114,9.4404,10,9.404353401,7.56,30,6.848034997,75,2
2016,BGD,Bangladesh,South Asia,3.132892486,4.211111111,5.933333333,3.25,7.041990115,5.302600358,146,8.8973,0,6.983616746,6.3,120,5.801300179,138,4
2016,BRD,Barbados,Latin America & the Caribbean,6.699287431,7.544444444,8.494444444,7.5,9.125,7.706894465,54,9.98,0,6.404613122,6.43,111,7.068447232,67,2
2016,BLR,Belarus,Eastern Europe,5.128924941,4.488888889,5.153333333,2.5,5.80952381,6.059028163,120,7.632683846,5,5.332776772,6.23,123,6.144514082,128,4
2016,BEL,Belgium,Western Europe,7.751100945,6.061111111,8.131481481,9.25,9.75,8.987178587,19,9.6056,10,9.377365846,7.32,52,8.153589293,27,1
2016,BLZ,Belize,Latin America & the Caribbean,4.268872009,8.516666667,9.055,6.75,8.520833333,7.430863836,66,9.86,0,7.204524495,6.86,83,7.145431918,64,2
2016,BEN,Benin,Sub-Saharan Africa,4.129479992,9.633333333,9.413333333,7.25,8.988095238,7.496976295,61,9.814,0,7.013885064,5.98,134,6.738488147,90,3
2016,BTN,Bhutan,South Asia,5.925574544,5.088888889,7.257777778,5,7.25,6.600972815,96,9.1246,0,6.72091122,7.02,73,6.810486407,83,3
2016,BOL,Bolivia,Latin America & the Caribbean,3.051401851,8.933333333,8.428148148,4.25,8.416666667,7.206770015,73,9.275,10,9.386300221,6.23,123,6.718385007,92,3
2016,BIH,Bosnia and Herzegovina,Eastern Europe,5.470080395,7.127777778,8.515185185,4.25,8.654761905,7.861447145,47,9.749712,5,8.315905677,6.6,98,7.230723572,59,2
2016,BWA,Botswana,Sub-Saharan Africa,5.641683932,8.238888889,9.008333333,5.25,7.8125,6.876334453,86,9.2462,10,9.056783223,7.43,44,7.153167226,64,2
2016,BRA,Brazil,Latin America & the Caribbean,4.65167253,9.077777778,7.411851852,4.5,8.341230646,6.665977406,94,8.2522,5,7.972060321,5.75,144,6.207988703,123,4
2016,BRN,Brunei Darussalam,South Asia,6.163383438,NA,0,3.75,4.55952381,4.663699718,153,9.85354,10,8.797458945,6.93,77,5.796849859,138,4
2016,BGR,Bulgaria,Eastern Europe,4.891372196,5.827777778,7.138888889,5.75,8.821428571,8.155539077,41,9.8403,10,9.439348667,7.41,46,7.782769538,41,1
2016,BFA,Burkina Faso,Sub-Saharan Africa,4.860574888,8.427777778,8.018888889,7,7.738095238,7.45533967,63,9.9506,0,7.121433785,6.05,129,6.752669835,88,3
2016,BDI,Burundi,Sub-Saharan Africa,2.961469859,8.105555556,7.468518519,0.75,3.202380952,4.414134427,156,8.8924,5,7.585470702,5.92,138,5.167067213,154,4
2016,KHM,Cambodia,South Asia,2.566741147,6.2,8.272592593,3.25,7.892857143,7.238448286,72,9.39561,10,9.308534101,7.17,64,7.204224143,61,2
2016,CMR,Cameroon,Sub-Saharan Africa,3.02691825,7.683333333,7.8929629630000004,4.25,6.998575821,5.330774311,142,9.82686,0,7.222024204,5.82,141,5.575387155,144,4
2016,CAN,Canada,North America,7.738323946,8.566666667,9.003703704,8.25,9.511904762,9.151726642,12,9.716,10,9.579711993,7.98,10,8.565863321,5,1
2016,CPV,Cape Verde,Sub-Saharan Africa,5.720581415,6.438888889,8.108333333,7.75,8.9375,7.986583066,44,9.7186,5,8.125784362,6.68,93,7.333291533,53,2
2016,CAF,Central Afr. Rep.,Sub-Saharan Africa,2.238882699,7.777777778,8.288888889,3,8,5.465632394,138,9.08,0,6.533633182,5.11,156,5.287816197,152,4
2016,TCD,Chad,Sub-Saharan Africa,2.900352865,7.772222222,8.158888889,2.5,7.523809524,5.50954107,136,9.78,0,6.726054551,5.44,150,5.474770535,147,4
2016,CHL,Chile,Latin America & the Caribbean,6.516104054,8.655555556,9.265925926,6.75,9.154761905,8.216035341,39,9.2428,10,9.331413421,7.8,15,8.00801767,32,1
2016,CHN,China,East Asia,4.704818051,3.516666667,3.666296296,1.5,5.174910149,5.350820339,141,9.6,5,8.542426794,6.46,108,5.905410169,135,4
2016,COL,Colombia,Latin America & the Caribbean,4.422972598,8.011111111,8.740740741,3.5,8.452380952,7.021513273,79,8.4966,5,7.973965074,6.5,105,6.760756637,87,3
2016,COD,"Congo, Dem. R.",Sub-Saharan Africa,2.603961178,9.116666667,8.509444444,3.75,6.703317185,4.947256786,152,6.36,5,7.345706139,5.67,148,5.308628393,151,4
2016,COG,"Congo, Rep. Of",Sub-Saharan Africa,3.512352174,8.516666667,9.35,2,6.952380952,6.777867694,90,9.28,0,5.603963678,5.02,157,5.898933847,136,4
2016,CRI,Costa Rica,Latin America & the Caribbean,6.626877443,4.811111111,8.085185185,8.5,9.595238095,8.165428969,40,9.99918,10,9.779738252,7.55,33,7.857714484,37,1
2016,CIV,Cote d'Ivoire,Sub-Saharan Africa,4.033755934,8.888888889,9.444444444,5.25,8.654761905,7.062542048,75,9.8548,0,7.17629177,6,132,6.531271024,100,3
2016,HRV,Croatia,Eastern Europe,5.700537868,7.55,8.051481481,5.75,8.607142857,8.456175752,35,9.78,10,9.136323654,6.96,75,7.708087876,44,2
2016,CYP,Cyprus,Eastern Europe,6.327701936,5.366666667,7.159259259,7.5,9.452380952,8.514393916,34,9.7142,10,9.489785988,7.71,18,8.112196958,30,1
2016,CZE,Czech Rep.,Eastern Europe,7.786692219,7.311111111,7.764444444,8,9.523809524,9.029761414,16,9.87214,10,9.386717032,7.56,30,8.294880707,21,1
2016,DNK,Denmark,Western Europe,8.687100828,5.366666667,7.702222222,8.5,9.69047619,9.325639969,4,9.95,10,9.863601232,7.77,16,8.547819985,6,1
2016,DOM,Dominican Rep.,Latin America & the Caribbean,4.352093305,5.461111111,8.487037037,4.75,8.869047619,6.942574962,81,9.6772,10,9.47470033,7.18,62,7.061287481,69,2
2016,ECU,Ecuador,Latin America & the Caribbean,4.258770863,9.077777778,7.803703704,3.25,7.94047619,7.550555359,59,9.656,5,8.254794016,6.06,127,6.80527768,83,3
2016,EGY,Egypt,Middle East & North Africa,3.626147505,2.822222222,3.733333333,1.5,6.46009916,3.894553773,158,7.2372,10,8.149666078,5.72,147,4.807276886,156,4
2016,SLV,El Salvador,Latin America & the Caribbean,4.355099989,7.822222222,9.088888889,5.5,7.452380952,6.917901981,83,9.87922,10,9.808378599,7.15,67,7.033950991,70,2
2016,EST,Estonia,Eastern Europe,7.801085558,8.377777778,8.32962963,9,9.619047619,9.013701218,17,9.97018,10,9.326665307,7.86,13,8.436850609,14,1
2016,ETH,Ethiopia,Sub-Saharan Africa,3.302472672,6.016666667,5.552222222,0.5,5.252983157,5.064089941,150,8.5468,0,5.732983571,5.73,146,5.397044971,150,4
2016,FJI,Fiji,Oceania,4.701806119,9.35,9.202777778,6,7.666666667,7.792204395,49,9.2272,0,6.446764945,6.79,88,7.291102197,55,2
2016,FIN,Finland,Western Europe,8.639248324,5,7.901481481,9,9.666666667,9.294367917,5,9.9288,10,9.36055112,7.65,22,8.472183958,10,1
2016,FRA,France,Western Europe,6.771264767,7.172222222,7.253703704,6.75,9.25,8.766802927,25,9.96334,10,9.480112303,7.25,57,8.008401464,32,1
2016,GAB,Gabon,Sub-Saharan Africa,4.241028336,9.444444444,8.944444444,3.75,6.178571429,5.315575222,144,9.57866,0,6.589812995,5.84,140,5.577787611,144,4
2016,GMB,"Gambia, The",Sub-Saharan Africa,3.981623179,6.477777778,7.574444444,1.25,2.895833333,5.302684702,145,8.556,10,9.250386495,7.34,49,6.321342351,115,3
2016,GEO,Georgia,Caucasus & Central Asia,5.385816218,5.877777778,7.160740741,4.75,8.630952381,7.576535507,58,9.57302,10,9.222802318,8.02,7,7.798267753,40,1
2016,DEU,Germany,Western Europe,8.303209527,5.833333333,7.697777778,7.5,9.357142857,9.235191378,9,9.90334,10,9.479673116,7.69,20,8.462595689,13,1
2016,GHA,Ghana,Sub-Saharan Africa,5.747291576,7.966666667,8.081481481,6.75,8.75,7.872177815,46,6.50522,5,6.972844492,6.6,98,7.236088908,57,2
2016,GRC,Greece,Eastern Europe,5.789790663,4.394444444,7.324074074,5.5,8.738095238,7.94676815,45,9.835,5,8.037389926,6.46,108,7.203384075,61,2
2016,GTM,Guatemala,Latin America & the Caribbean,3.98767717,6.527777778,8.47,4.25,7.459933562,6.548245982,99,9.11032,10,9.557483712,7.64,23,7.094122991,66,2
2016,GIN,Guinea,Sub-Saharan Africa,3.120741098,6.527777778,8.54037037,2.75,5.788023635,5.371201607,140,8.37404,5,7.944894022,5.93,137,5.650600803,141,4
2016,GNB,Guinea-Bissau,Sub-Saharan Africa,2.799701015,9.816666667,9.852777778,4,7.083333333,6.859721724,87,9.66114,0,6.023988402,5.25,154,6.054860862,133,4
2016,GUY,Guyana,Latin America & the Caribbean,4.661064747,8.655555556,9.161111111,6,8.083333333,7.041795873,78,9.8524,5,8.329573465,6.31,119,6.675897936,96,3
2016,HTI,Haiti,Latin America & the Caribbean,3.582253733,6.25,8.392222222,5.75,8.226190476,7.184442588,74,7.2334,5,7.216129446,6.51,104,6.847221294,75,2
2016,HND,Honduras,Latin America & the Caribbean,3.194722841,7.361111111,8.731481481,1.75,7.964285714,6.386482597,107,9.455508,10,9.2936517,7.06,70,6.723241298,92,3
2016,HKG,Hong Kong,East Asia,7.13781731,8.794444444,8.592222222,5,8.666666667,8.583679591,32,9.523,10,9.568964194,8.97,1,8.776839796,3,1
2016,HUN,Hungary,Eastern Europe,5.439017665,6.388888889,7.284444444,5.75,8.821428571,8.258945773,38,9.91986,10,9.710533115,7.22,59,7.739472887,42,2
2016,ISL,Iceland,Western Europe,7.572814721,4.811111111,8.122222222,8.75,9.630952381,9.083506216,13,9.66106,0,7.055296849,7.22,59,8.151753108,27,1
2016,IND,India,South Asia,4.3204398490000004,5.922222222,5.488888889,4.5,7.921169544,6.195871335,112,9.0118,5,8.199784181,6.63,96,6.412935668,110,3
2016,IDN,Indonesia,South Asia,4.077098305,2.822222222,3.854074074,5.5,7.523809524,6.38131246,108,9.295,10,9.683353617,7.16,65,6.77065623,85,3
2016,IRN,Iran,Middle East & North Africa,4.375717373,3.377777778,4.271851852,1,5.357636552,4.532449245,154,9.92,10,8.431335572,6.03,130,5.281224623,153,4
2016,IRQ,Iraq,Middle East & North Africa,2.464387305,3.238888889,5.327777778,2,5.261904762,3.11602762,160,8.2862,10,7.258295299,5.4,152,4.25801381,159,4
2016,IRL,Ireland,Western Europe,7.614721658,8.655555556,9.082962963,8.5,9.5,8.9391294039999991,21,10,10,9.255335231,8.07,5,8.504564702,8,1
2016,ISR,Israel,Middle East & North Africa,6.790677923,3.838888889,5.931481481,6.5,7.948909543,7.544916142,60,9.8912,10,9.399942105,7.49,38,7.517458071,49,2
2016,ITA,Italy,Western Europe,6.503838352,6.338888889,8.049259259,7.5,9.071428571,8.690446317,30,9.97534,10,9.438703624,7.27,54,7.980223159,34,1
2016,JAM,Jamaica,Latin America & the Caribbean,5.403823101,8.472222222,9.305555556,7.75,9.535714286,7.268416093,70,9.5302,10,8.592263953,7.18,62,7.224208046,60,2
2016,JPN,Japan,East Asia,7.643490079,10,8.0925925929999991,6,9.19047619,8.73377055,29,9.97668,10,9.524658793,7.47,41,8.101885275,31,1
2016,JOR,Jordan,Middle East & North Africa,5.798807684,3.75,6.333703704,3.5,6.595238095,6.238666517,111,9.8426,10,9.618102308,7.46,42,6.849333258,75,2
2016,KAZ,Kazakhstan,Caucasus & Central Asia,4.537932016,5.555555556,5.508888889,1.5,6.140106103,6.375675545,109,7.098,10,8.551346498,7.11,69,6.742837772,90,3
2016,KEN,Kenya,Sub-Saharan Africa,3.953814707,6.477777778,7.214814815,4,8.333333333,6.44553669,102,8.7405,10,9.21911917,7.2,61,6.822768345,82,2
2016,KOR,"Korea, South",East Asia,7.438182909,8.933333333,9.353333333,6.5,8.976190476,8.766349858,26,9.806,10,9.609132499,7.53,35,8.148174929,27,1
