playerID,yearID,stint,teamID,lgID,posit,G,AB,H,avg,R,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
sanchga02,2019,1,NYA,AL,catcher,106,396,92,0.232,62,12,1,34,77,0,1,40,125,3,9,0,1,3
chiriro01,2019,1,HOU,AL,catcher,114,366,87,0.238,57,22,1,17,58,1,2,51,125,1,13,2,5,11
mathije01,2019,1,TEX,AL,catcher,88,228,36,0.158,17,9,0,2,12,1,0,15,87,1,0,0,1,2
contrwi01,2019,1,CHN,NL,catcher,105,360,98,0.272,57,18,2,24,64,1,2,38,102,2,9,0,2,4
vazquch01,2019,1,BOS,AL,catcher,138,482,133,0.276,66,26,1,23,72,4,2,33,101,3,0,3,3,17
mccanbr01,2019,1,ATL,NL,catcher,85,277,69,0.249,28,9,0,12,45,0,0,31,53,1,2,0,6,10
martiru01,2019,1,LAN,NL,catcher,83,209,46,0.22,29,5,0,6,20,1,0,30,60,3,8,0,2,1
severpe01,2019,1,BAL,AL,catcher,96,305,76,0.249,37,13,0,13,44,3,1,29,73,0,4,1,2,5
realmjt01,2019,1,PHI,NL,catcher,145,538,148,0.275,92,36,3,25,83,9,1,41,123,2,5,0,8,12
gomesya01,2019,1,WAS,NL,catcher,97,314,70,0.223,36,16,0,12,43,2,0,38,84,6,5,0,1,7
suzukku01,2019,1,WAS,NL,catcher,85,280,74,0.264,37,11,0,17,63,0,1,20,36,1,6,0,3,10
flowety01,2019,1,ATL,NL,catcher,85,271,62,0.229,36,11,3,11,34,0,0,31,105,3,6,0,2,8
kellyca02,2019,1,ARI,NL,catcher,111,314,77,0.245,46,19,0,18,47,0,0,48,79,10,2,0,1,11
perezro02,2019,1,CLE,AL,catcher,119,389,93,0.239,46,9,1,24,63,0,0,45,127,1,4,7,4,12
judgeaa01,2019,1,NYA,AL,outfield,102,378,103,0.272,75,18,1,27,55,3,2,64,141,4,3,0,1,11
springe01,2019,1,HOU,AL,outfield,122,479,140,0.292,96,20,3,39,96,6,2,67,113,1,6,0,4,12
gardnbr01,2019,1,NYA,AL,outfield,141,491,123,0.251,86,26,7,28,74,10,2,52,108,0,4,0,3,6
brantmi02,2019,1,HOU,AL,outfield,148,575,179,0.311,88,40,2,22,90,3,2,51,66,3,7,0,4,21
reddijo01,2019,1,HOU,AL,outfield,141,501,138,0.275,57,19,3,14,56,5,2,36,66,1,0,1,9,9
choosh01,2019,1,TEX,AL,outfield,151,563,149,0.265,93,31,2,24,61,15,1,78,165,3,18,0,1,6
santada01,2019,1,TEX,AL,outfield,130,474,134,0.283,81,23,6,28,81,21,6,25,151,2,6,0,5,8
almoral01,2019,1,CHN,NL,outfield,130,339,80,0.236,41,11,1,12,32,2,1,16,62,4,1,5,2,8
heywaja01,2019,1,CHN,NL,outfield,147,513,129,0.251,78,20,4,21,62,8,3,68,110,5,5,0,3,12
schwaky01,2019,1,CHN,NL,outfield,155,529,132,0.25,82,29,3,38,92,2,3,70,156,5,5,0,6,6
beninan01,2019,1,BOS,AL,outfield,138,541,144,0.266,72,40,5,13,68,10,3,59,140,1,7,3,5,6
bettsmo01,2019,1,BOS,AL,outfield,150,597,176,0.295,135,40,5,29,80,16,3,97,101,6,3,0,9,11
bradlja02,2019,1,BOS,AL,outfield,147,494,111,0.225,69,28,3,21,62,8,6,56,155,3,12,3,2,6
acunaro01,2019,1,ATL,NL,outfield,156,626,175,0.28,127,22,2,41,101,37,9,76,188,4,9,0,1,8
culbech01,2019,1,ATL,NL,outfield,108,135,35,0.259,14,5,2,5,20,0,1,6,44,0,1,1,1,5
joycema01,2019,1,ATL,NL,outfield,129,200,59,0.295,32,10,0,7,23,0,0,38,45,0,0,0,0,3
markani01,2019,1,ATL,NL,outfield,116,414,118,0.285,61,25,2,9,62,2,0,47,59,1,2,0,6,11
pederjo01,2019,1,LAN,NL,outfield,149,450,112,0.249,83,16,3,36,74,1,1,50,111,2,12,0,2,4
verdual01,2019,1,LAN,NL,outfield,106,343,101,0.294,43,22,2,12,44,4,1,26,49,1,2,0,6,8
mancitr01,2019,1,BAL,AL,outfield,154,602,175,0.291,106,38,2,35,97,1,0,63,143,3,9,0,5,22
eatonad02,2019,1,WAS,NL,outfield,151,566,158,0.279,103,25,7,15,49,15,3,65,106,0,13,9,3,8
roblevi01,2019,1,WAS,NL,outfield,155,546,139,0.255,86,33,3,17,65,28,9,35,140,3,25,6,5,6
sotoju01,2019,1,WAS,NL,outfield,150,542,153,0.282,110,32,5,34,110,12,1,108,132,3,3,0,6,11
jonesad01,2019,1,ARI,NL,outfield,137,485,126,0.26,66,25,1,16,67,2,1,31,101,2,8,0,3,15
baezja01,2019,1,CHN,NL,infield,138,531,149,0.281,89,38,4,29,85,11,7,28,156,3,0,0,2,16
boteda01,2019,1,CHN,NL,infield,127,303,78,0.257,47,17,0,11,41,5,1,44,93,4,7,0,2,11
bryankr01,2019,1,CHN,NL,infield,147,543,153,0.282,108,35,1,31,77,4,0,74,145,1,15,0,2,10
rizzoan01,2019,1,CHN,NL,infield,146,512,150,0.293,89,29,3,27,94,5,2,71,86,3,27,0,3,15
lemahdj01,2019,1,NYA,AL,infield,145,602,197,0.327,109,33,2,26,102,5,2,46,90,0,2,1,4,14
torregl01,2019,1,NYA,AL,infield,144,546,152,0.278,96,26,0,38,90,5,2,48,129,3,3,1,6,10
urshegi01,2019,1,NYA,AL,infield,132,442,139,0.314,73,34,0,21,74,1,1,25,87,1,5,0,4,13
voitlu01,2019,1,NYA,AL,infield,118,429,113,0.263,72,21,1,21,62,0,0,71,142,2,9,0,1,12
altuvjo01,2019,1,HOU,AL,infield,124,500,149,0.298,89,27,3,31,74,6,5,41,82,0,3,1,3,19
bregmal01,2019,1,HOU,AL,infield,156,554,164,0.296,122,37,2,41,112,5,1,119,83,2,9,0,8,9
gourryu01,2019,1,HOU,AL,infield,144,564,168,0.298,85,40,2,31,104,5,3,37,65,2,5,0,6,12
andruel01,2019,1,TEX,AL,infield,147,600,165,0.275,81,27,4,12,72,31,8,34,96,1,4,0,10,16
forsylo01,2019,1,TEX,AL,infield,101,317,72,0.227,38,17,1,7,39,2,0,44,100,0,3,0,2,8
odorro01,2019,1,TEX,AL,infield,145,522,107,0.205,77,30,1,30,93,11,9,52,178,2,5,1,1,4
bogaexa01,2019,1,BOS,AL,infield,155,614,190,0.309,110,52,0,33,117,4,2,76,122,2,2,0,6,11
deverra01,2019,1,BOS,AL,infield,156,647,201,0.311,129,54,4,32,115,8,8,48,119,7,4,1,2,8
albieoz01,2019,1,ATL,NL,infield,160,640,189,0.295,102,43,8,24,86,15,4,54,112,6,4,0,4,2
donaljo02,2019,1,ATL,NL,infield,155,549,142,0.259,96,33,0,37,94,4,2,100,155,2,8,0,2,13
freemfr01,2019,1,ATL,NL,infield,158,597,176,0.295,113,34,2,38,121,6,3,87,127,11,6,0,2,17
swansda01,2019,1,ATL,NL,infield,127,483,121,0.251,77,26,3,17,65,10,5,51,124,2,5,1,5,7
adamsma01,2019,1,WAS,NL,infield,111,310,70,0.226,42,14,0,20,56,0,0,20,115,1,2,0,1,7
doziebr01,2019,1,WAS,NL,infield,135,416,99,0.238,54,20,0,20,50,3,4,61,105,2,4,0,1,11
kendrho01,2019,1,WAS,NL,infield,121,334,115,0.344,61,23,1,17,62,2,1,27,49,1,4,0,5,11
rendoan01,2019,1,WAS,NL,infield,146,545,174,0.319,117,44,3,34,126,5,1,80,86,8,12,0,9,13