playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
judgeaa01,2019,1,NYA,AL,102,378,75,103,18,1,27,55,3,2,64,141,4,3,0,1,11
springe01,2019,1,HOU,AL,122,479,96,140,20,3,39,96,6,2,67,113,1,6,0,4,12
gardnbr01,2019,1,NYA,AL,141,491,86,123,26,7,28,74,10,2,52,108,0,4,0,3,6
brantmi02,2019,1,HOU,AL,148,575,88,179,40,2,22,90,3,2,51,66,3,7,0,4,21
reddijo01,2019,1,HOU,AL,141,501,57,138,19,3,14,56,5,2,36,66,1,0,1,9,9
choosh01,2019,1,TEX,AL,151,563,93,149,31,2,24,61,15,1,78,165,3,18,0,1,6
santada01,2019,1,TEX,AL,130,474,81,134,23,6,28,81,21,6,25,151,2,6,0,5,8
almoral01,2019,1,CHN,NL,130,339,41,80,11,1,12,32,2,1,16,62,4,1,5,2,8
heywaja01,2019,1,CHN,NL,147,513,78,129,20,4,21,62,8,3,68,110,5,5,0,3,12
schwaky01,2019,1,CHN,NL,155,529,82,132,29,3,38,92,2,3,70,156,5,5,0,6,6
beninan01,2019,1,BOS,AL,138,541,72,144,40,5,13,68,10,3,59,140,1,7,3,5,6
bettsmo01,2019,1,BOS,AL,150,597,135,176,40,5,29,80,16,3,97,101,6,3,0,9,11
bradlja02,2019,1,BOS,AL,147,494,69,111,28,3,21,62,8,6,56,155,3,12,3,2,6
acunaro01,2019,1,ATL,NL,156,626,127,175,22,2,41,101,37,9,76,188,4,9,0,1,8
culbech01,2019,1,ATL,NL,108,135,14,35,5,2,5,20,0,1,6,44,0,1,1,1,5
joycema01,2019,1,ATL,NL,129,200,32,59,10,0,7,23,0,0,38,45,0,0,0,0,3
markani01,2019,1,ATL,NL,116,414,61,118,25,2,9,62,2,0,47,59,1,2,0,6,11
pederjo01,2019,1,LAN,NL,149,450,83,112,16,3,36,74,1,1,50,111,2,12,0,2,4
verdual01,2019,1,LAN,NL,106,343,43,101,22,2,12,44,4,1,26,49,1,2,0,6,8
mancitr01,2019,1,BAL,AL,154,602,106,175,38,2,35,97,1,0,63,143,3,9,0,5,22
eatonad02,2019,1,WAS,NL,151,566,103,158,25,7,15,49,15,3,65,106,0,13,9,3,8
roblevi01,2019,1,WAS,NL,155,546,86,139,33,3,17,65,28,9,35,140,3,25,6,5,6
sotoju01,2019,1,WAS,NL,150,542,110,153,32,5,34,110,12,1,108,132,3,3,0,6,11
jonesad01,2019,1,ARI,NL,137,485,66,126,25,1,16,67,2,1,31,101,2,8,0,3,15