cust_id,movie_id,movie_rank_nr,rent_own,etl_dt
1,8,4,r,2/7/21
1,9,5,r,2/7/21
1,10,4,r,2/7/21
1,5,5,o,2/7/21
1,1,5,o,2/7/21
1,11,5,o,2/7/21
2,8,3,r,2/7/21
2,9,5,r,2/7/21
2,10,4,r,2/7/21
2,5,3,o,2/7/21
2,1,2,o,2/7/21
2,11,5,o,2/7/21
3,8,3,r,2/8/21
3,9,4,r,2/8/21
3,10,5,r,2/8/21
3,5,5,r,2/8/21
3,1,3,r,2/8/21
3,11,4,r,2/8/21
4,8,3,o,2/8/21
4,9,5,r,2/8/21
4,10,4,r,2/8/21
4,5,3,o,2/8/21
4,1,2,r,2/8/21
4,11,5,o,2/8/21
5,8,3,r,2/9/21
5,9,5,r,2/9/21
5,10,4,r,2/9/21
5,5,3,r,2/9/21
5,1,2,r,2/9/21
5,11,5,r,2/9/21
6,8,4,o,2/9/21
6,9,5,o,2/9/21
6,10,4,o,2/9/21
6,5,5,o,2/9/21
6,1,5,o,2/9/21
6,11,5,o,2/9/21